"Story","Title","Result","Date","Stability","Duration (s)"
"Login to CRM Application","Succesfully login with Valid credentials","PENDING","2026-03-16T11:50:19.7832134+05:30[Asia/Calcutta]","0.0","17.68"
"Login to CRM Application","Successfully login with valid credentials","SUCCESS","2026-03-16T11:54:56.1519536+05:30[Asia/Calcutta]","0.0","14.74"
